,perid,tournament_perid,datetime,fmt,box,forfeit,loser,loser_score,winner,winner_score,date
27834,esports:match:d8dd4e00-39e4-485b-aae1-b3b1fda9b3f3,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 18:00:00+00:00,bestOf,1,0,eSuba,0.0,X-Gamer,1.0,2022-06-02
27835,esports:match:53134eee-cebc-4d22-9971-531d2b7a1e9e,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 16:00:00+00:00,bestOf,1,0,Cowana Gaming,0.0,sC e-Sports,1.0,2022-06-02
27857,esports:match:3ad7048a-a9de-4216-b205-fdcdfb8bf44a,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 16:00:00+00:00,bestOf,1,0,Kova Esports,0.0,Insilio,1.0,2022-06-02
27856,esports:match:c1c72f23-0f16-4d1d-8535-6cf07e890e40,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 01:00:00+00:00,bestOf,1,0,Peekers Advantage,0.0,Limitless.gg,1.0,2022-06-02
27836,esports:match:fa673664-5ead-42b0-8ec4-d4e6a5b6cb00,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 13:00:00+00:00,bestOf,1,0,Masonic,0.0,SKADE,1.0,2022-06-02
27483,esports:match:953a9703-d210-454e-afb1-0d3808fe6427,esports:tournament:ed011298-a5cb-4447-a667-b578c116fe46,2022-06-02 00:00:00+00:00,bestOf,3,0,BHOP Esports,1.0,MIBR,2.0,2022-06-02
27855,esports:match:88bc056f-c565-48a8-b485-80e0ed28fae5,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 16:00:00+00:00,bestOf,1,0,Apeks Rebels,0.0,Shock Esports,1.0,2022-06-02
27816,esports:match:7f332816-3208-46dc-9437-dac9b3e6b8e1,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 01:00:00+00:00,bestOf,1,0,Monkey Business,0.0,Philadelphia Liberty,1.0,2022-06-02
27898,esports:match:251d2f29-3adc-4907-90e0-ace536498fe6,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 18:00:00+00:00,bestOf,1,0,Kova Esports,0.0,HONORIS,1.0,2022-06-02
27817,esports:match:39711ad3-7666-4c23-a466-97031fb9cf19,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 01:30:00+00:00,bestOf,1,0, Revel,0.0,Touch Point Gaming,1.0,2022-06-02
27961,esports:match:4262fe69-713f-4a6a-b1ac-a670b3a49680,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 01:00:00+00:00,bestOf,1,0,The Forest,0.0,Team Genesis,1.0,2022-06-02
27992,esports:match:befb2561-0efd-42cf-b3ab-484442473dc4,esports:tournament:87ef1fc6-7450-4fa9-ad44-a3e80d20fd29,2022-06-02 17:40:00+00:00,bestOf,1,False,Eternal Fire Academy,0.0,mouz NXT,1.0,2022-06-02
27572,esports:match:20eafa77-0565-4b54-a6a5-84a750e4d0c8,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 11:00:00+00:00,bestOf,1,0, iNation,0.0,SKADE,1.0,2022-06-02
27424,esports:match:4a3942ea-5909-422f-820a-22d6c0660793,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 18:00:00+00:00,bestOf,1,0,winners club,0.0,Exalty,1.0,2022-06-02
27759,esports:match:6c016f0b-e0db-49f9-a61f-048988bb2d7f,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 15:00:00+00:00,bestOf,1,0,Marskalk,0.0, Entropiq Prague,1.0,2022-06-02
27953,esports:match:2fe6f3b9-9744-48e0-b779-2112a2a9a35e,esports:tournament:64483842-24c1-417f-824a-4193a61dc0f0,2022-06-02 17:00:00+00:00,bestOf,3,False,Lilmix,0.0,Lakeshow,2.0,2022-06-02
27796,esports:match:4823ccdb-dd54-4605-9906-d7646e1be617,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 20:00:00+00:00,bestOf,1,0,Infinite Gaming,0.0,Tricked eSport,1.0,2022-06-02
27928,esports:match:c47a5831-d9d2-448a-bbf5-13b4ba61e058,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 02:00:00+00:00,bestOf,1,0,Eros,0.0,Luxe,1.0,2022-06-02
27473,esports:match:b457a0f0-b220-47c9-8766-cde96b74900d,esports:tournament:75e31ae7-7524-4665-ac16-bb89a057f313,2022-06-02 16:00:00+00:00,bestOf,3,0,Apeks,1.0,Sprout,2.0,2022-06-02
27919,esports:match:641959dd-4e0e-47e5-ae13-a9729dde392d,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 01:30:00+00:00,bestOf,1,0,Cyberstorm,0.0,PNEUMA,1.0,2022-06-02
27912,esports:match:f3a36231-2d16-4bb3-9e66-a1c36a106409,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 18:00:00+00:00,bestOf,1,0,Ex-Heaven And Hell eSports,0.0,Zero Tenacity,1.0,2022-06-02
27908,esports:match:20c745e1-349e-40b4-af2b-46a5e46c4be7,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 18:00:00+00:00,bestOf,1,0,eClub Brugge,0.0,Impression,1.0,2022-06-02
27907,esports:match:010ce592-67fc-4024-87ec-8f4a301f3dcb,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 01:00:00+00:00,bestOf,1,0,Team Omega,0.0,Valkyrie,1.0,2022-06-02
28226,esports:match:0097225c-ae23-4b0d-97e5-df7f4acff14d,esports:tournament:7d010594-2c42-4144-9f35-5a6deef37d60,2022-06-03 19:00:00+00:00,bestOf,3,0,Case Esports,1.0,Fourteen eSports,2.0,2022-06-03
28223,esports:match:255a83cc-53f0-42e5-a54e-02f310ce75f5,esports:tournament:7d010594-2c42-4144-9f35-5a6deef37d60,2022-06-03 16:00:00+00:00,bestOf,3,0,Offset Esports,0.0,VELOX,2.0,2022-06-03
28143,esports:match:5b91882a-9e4c-4336-9151-47bc6abe5358,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-03 19:00:00+00:00,bestOf,1,0,Nenka,0.0,Dark Tigers,1.0,2022-06-03
